MP7 | Armor Core (Well-Worn)
Desert Eagle | Bronze Deco (Well-Worn)
StatTrak™ AK-47 | Elite Build (Minimal Wear)
P250 | Valence (Battle-Scarred)
P250 | Valence (Well-Worn)
MP7 | Armor Core (Factory New)
Sawed-Off | Origami (Field-Tested)
UMP-45 | Grand Prix (Field-Tested)
Desert Eagle | Bronze Deco (Battle-Scarred)
AK-47 | Elite Build (Battle-Scarred)
Negev | Man-o'-war (Field-Tested)
StatTrak™ Sawed-Off | Origami (Factory New)
MP7 | Armor Core (Field-Tested)
MAC-10 | Neon Rider (Well-Worn)
StatTrak™ MAG-7 | Heat (Minimal Wear)
Negev | Man-o'-war (Minimal Wear)
P250 | Valence (Factory New)
MAG-7 | Heat (Battle-Scarred)
MP7 | Armor Core (Minimal Wear)
P250 | Valence (Field-Tested)
FAMAS | Djinn (Field-Tested)
Five-SeveN | Monkey Business (Battle-Scarred)
Sawed-Off | Origami (Factory New)
MP7 | Armor Core (Battle-Scarred)
StatTrak™ P250 | Valence (Field-Tested)
AK-47 | Elite Build (Field-Tested)
AWP | Worm God (Field-Tested)
P250 | Valence (Minimal Wear)
M4A1-S | Hyper Beast (Field-Tested)
Sawed-Off | Origami (Minimal Wear)
StatTrak™ Sawed-Off | Origami (Field-Tested)
Galil AR | Eco (Field-Tested)
AK-47 | Elite Build (Factory New)
MAG-7 | Heat (Field-Tested)
CZ75-Auto | Pole Position (Factory New)
StatTrak™ Desert Eagle | Bronze Deco (Factory New)
StatTrak™ AK-47 | Elite Build (Field-Tested)
StatTrak™ MP7 | Armor Core (Well-Worn)
AK-47 | Elite Build (Well-Worn)
Sawed-Off | Origami (Battle-Scarred)
StatTrak™ P250 | Valence (Minimal Wear)
StatTrak™ Sawed-Off | Origami (Battle-Scarred)
AWP | Worm God (Well-Worn)
StatTrak™ MP7 | Armor Core (Factory New)
M4A1-S | Hyper Beast (Battle-Scarred)
StatTrak™ AK-47 | Elite Build (Factory New)
CZ75-Auto | Pole Position (Well-Worn)
Desert Eagle | Bronze Deco (Field-Tested)
Desert Eagle | Bronze Deco (Factory New)
CZ75-Auto | Pole Position (Field-Tested)
StatTrak™ Negev | Man-o'-war (Minimal Wear)
MAG-7 | Heat (Minimal Wear)
MAG-7 | Heat (Factory New)
