hash_name,steam_price,floatdb_price
SCAR-20 | Jungle Slipstream (Factory New),20,99
Sawed-Off | Morris (Battle-Scarred),5,19
CZ75-Auto | Tacticat (Factory New),121,200
StatTrak™ AUG | Triqua (Field-Tested),15,12
Glock-18 | Off World (Battle-Scarred),9,7
StatTrak™ Tec-9 | Cracked Opal (Battle-Scarred),12,200
StatTrak™ Tec-9 | Cracked Opal (Factory New),150,174
XM1014 | Ziggy (Factory New),123,198
XM1014 | Ziggy (Field-Tested),41,34
StatTrak™ AUG | Triqua (Battle-Scarred),12,200
UMP-45 | Exposure (Field-Tested),41,75
StatTrak™ G3SG1 | Hunter (Minimal Wear),23,40
SG 553 | Phantom (Battle-Scarred),36,100
StatTrak™ G3SG1 | Hunter (Field-Tested),10,100
StatTrak™ G3SG1 | Hunter (Factory New),86,700
SCAR-20 | Jungle Slipstream (Field-Tested),5,50
Glock-18 | Off World (Field-Tested),9,24
StatTrak™ AUG | Triqua (Minimal Wear),38,36
R8 Revolver | Llama Cannon (Battle-Scarred),163,176
MAC-10 | Oceanic (Field-Tested),7,153
Sawed-Off | Morris (Minimal Wear),10,100
MAC-10 | Oceanic (Minimal Wear),10,350
MP9 | Goo (Field-Tested),43,49
Glock-18 | Off World (Well-Worn),9,500
UMP-45 | Exposure (Minimal Wear),67,100
MAC-10 | Oceanic (Battle-Scarred),7,25
R8 Revolver | Llama Cannon (Field-Tested),223,185
CZ75-Auto | Tacticat (Minimal Wear),70,82
MP9 | Goo (Well-Worn),44,99
StatTrak™ AUG | Triqua (Well-Worn),14,35
MAC-10 | Oceanic (Factory New),21,35
SG 553 | Phantom (Factory New),113,131
SG 553 | Phantom (Field-Tested),40,100
Glock-18 | Off World (Factory New),52,189
StatTrak™ Tec-9 | Cracked Opal (Field-Tested),14,13
M4A1-S | Leaded Glass (Field-Tested),494,538
MP9 | Goo (Factory New),126,195
StatTrak™ AUG | Triqua (Factory New),211,599
SCAR-20 | Jungle Slipstream (Battle-Scarred),7,4800
UMP-45 | Exposure (Battle-Scarred),38,75
P250 | See Ya Later (Factory New),1026,945
CZ75-Auto | Tacticat (Field-Tested),41,45
Sawed-Off | Morris (Factory New),28,40
Glock-18 | Off World (Minimal Wear),12,34
R8 Revolver | Llama Cannon (Factory New),872,1100
StatTrak™ Tec-9 | Cracked Opal (Well-Worn),12,13
CZ75-Auto | Tacticat (Battle-Scarred),34,65
PP-Bizon | High Roller (Battle-Scarred),164,409
M4A1-S | Leaded Glass (Factory New),1032,980
UMP-45 | Exposure (Factory New),114,164
