UMP-45 | Scaffold (Battle-Scarred)
M249 | Emerald Poison Dart (Factory New)
StatTrak™ PP-Bizon | Jungle Slipstream (Well-Worn)
StatTrak™ MP7 | Akoben (Well-Worn)
StatTrak™ StatTrak™ P250 | Ripple (Field-Tested)
XM1014 | Seasons (Minimal Wear)
StatTrak™ P250 | Ripple (Field-Tested)
Five-SeveN | Capillary (Factory New)
StatTrak™ Desert Eagle | Oxide Blaze (Well-Worn)
XM1014 | Seasons (Factory New)
Five-SeveN | Capillary (Battle-Scarred)
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested)
XM1014 | Seasons (Field-Tested)
Galil AR | Crimson Tsunami (Factory New)
StatTrak™ P250 | Ripple (Factory New)
Five-SeveN | Capillary (Field-Tested)
Galil AR | Crimson Tsunami (Field-Tested)
Sawed-Off | Zander (Minimal Wear)
MAC-10 | Last Dive (Field-Tested)
SCAR-20 | Blueprint (Minimal Wear)
Galil AR | Crimson Tsunami (Battle-Scarred)
StatTrak™ PP-Bizon | Jungle Slipstream (Minimal Wear)
Sawed-Off | Zander (Field-Tested)
StatTrak™ MP7 | Akoben (Field-Tested)
SCAR-20 | Blueprint (Field-Tested)
Desert Eagle | Oxide Blaze (Field-Tested)
StatTrak™ P250 | Ripple (Battle-Scarred)
StatTrak™ PP-Bizon | Jungle Slipstream (Factory New)
SCAR-20 | Blueprint (Battle-Scarred)
Sawed-Off | Zander (Battle-Scarred)
AK-47 | Bloodsport (Field-Tested)
SCAR-20 | Blueprint (Well-Worn)
StatTrak™ MP7 | Akoben (Battle-Scarred)
StatTrak™ MP7 | Akoben (Minimal Wear)
MAC-10 | Last Dive (Minimal Wear)
StatTrak™ PP-Bizon | Jungle Slipstream (Field-Tested)
StatTrak™ Sawed-Off | Zander (Battle-Scarred)
StatTrak™ P250 | Ripple (Minimal Wear)
M4A1-S | Decimator (Battle-Scarred)
StatTrak™ MP7 | Akoben (Factory New)
Galil AR | Crimson Tsunami (Well-Worn)
Desert Eagle | Oxide Blaze (Minimal Wear)
StatTrak™ SCAR-20 | Blueprint (Battle-Scarred)
StatTrak™ StatTrak™ PP-Bizon | Jungle Slipstream (Minimal Wear)
CZ75-Auto | Xiangliu (Field-Tested)
UMP-45 | Scaffold (Minimal Wear)
Sawed-Off | Zander (Factory New)
StatTrak™ StatTrak™ MP7 | Akoben (Field-Tested)
